certificado,producto,fec_nac,fec_ini,fec_fin,t_poliza,vigencia,moneda,beneficio,monto_prima,monto_gasto,dotal,sexo
A001,producto001,7/24/1977,7/3/2020,7/4/2025,3,5,PEN,44848.28172,852.016,85.2016,50,F
A002,producto001,10/7/1979,2/17/2022,3/18/2025,1,3,PEN,79884.24466,1631.68302,163.168302,50,F
A003,producto001,3/19/1964,2/21/2022,3/25/2025,1,3,PEN,77000.19118,1569.1467,156.91467,50,F
A004,producto001,9/14/1993,2/26/2022,4/5/2027,1,5,PEN,43123.6938,1427.92298,142.792298,50,F
A005,producto001,8/13/1981,2/7/2022,3/11/2025,1,3,PEN,147338.1859,3005.71392,300.571392,50,F
A006,producto001,6/21/1993,2/9/2022,3/11/2025,1,3,PEN,36824.21424,751.63528,75.163528,50,F
A007,producto001,9/25/1986,2/14/2022,2/18/2026,1,4,PEN,74436.71906,1716.42966,171.642966,50,F
A008,producto001,1/3/1993,2/19/2022,3/25/2025,1,3,PEN,147851.0086,3013.84116,301.384116,50,F
A009,producto001,11/5/1989,2/18/2022,4/5/2027,1,5,PEN,44163.39114,1414.76016,141.476016,50,F
A010,producto001,12/16/1971,2/25/2022,2/25/2026,1,4,PEN,32390.03966,748.32648,74.832648,50,F
A011,producto001,8/5/1994,3/9/2022,3/11/2024,1,2,PEN,28747.13358,370.82342,37.082342,50,F
A012,producto001,11/30/1995,2/17/2022,3/4/2026,1,4,PEN,61574.06926,1411.14116,141.114116,50,F
A013,producto001,5/15/1982,2/28/2022,4/4/2024,1,2,PEN,42435.2566,566.05296,56.605296,50,F
A014,producto001,9/3/1992,2/24/2022,3/4/2027,1,5,PEN,43395.74954,1192.4605,119.24605,50,F
A015,producto001,3/25/1994,2/7/2022,2/11/2028,1,6,PEN,66679.05134,2181.72966,218.172966,50,F
A016,producto001,12/31/1986,2/26/2022,4/4/2025,1,3,PEN,33110.1276,674.49888,67.449888,50,F
A017,producto001,10/16/1989,2/4/2022,3/4/2025,1,3,PEN,136487.0487,2796.1428,279.61428,50,F
A018,producto001,8/7/1989,2/28/2022,7/4/2025,1,3,PEN,32054.14476,739.23762,73.923762,50,F
A019,producto001,4/28/1985,2/14/2022,4/4/2026,1,4,PEN,163504.8276,3807.74636,380.774636,50,F
A020,producto001,1/20/1983,2/18/2022,3/18/2025,1,3,PEN,45168.222,925.33694,92.533694,50,F
A021,producto001,5/25/1989,2/9/2022,3/11/2025,1,3,PEN,41119.77078,839.31848,83.931848,50,F
A022,producto001,1/23/1976,2/9/2022,3/11/2025,1,3,PEN,93472.60736,1908.79502,190.879502,50,F
A023,producto001,8/7/1991,2/1/2022,3/4/2025,1,3,PEN,35808.85726,730.55202,73.055202,50,F
A024,producto001,2/21/1977,2/28/2022,4/5/2027,1,5,PEN,37769.50738,1249.23744,124.923744,50,F
A025,producto001,12/26/1960,2/24/2022,3/25/2025,1,3,PEN,36069.23914,736.47684,73.647684,50,F
A026,producto001,2/28/1968,2/4/2022,3/4/2025,1,3,PEN,14296.01162,292.8805,29.28805,50,F
A027,producto001,3/16/1959,2/22/2022,3/25/2025,1,3,PEN,85354.95254,1742.77598,174.277598,50,F
A028,producto001,8/29/1987,3/16/2022,4/19/2025,1,3,PEN,80853.45422,1651.02916,165.102916,50,F
A029,producto001,8/3/1981,2/24/2022,3/25/2025,1,3,PEN,81509.95116,1664.65728,166.465728,50,F
A030,producto001,5/19/1994,2/22/2022,2/25/2027,1,5,PEN,29445.02154,813.17896,81.317896,50,F
A031,producto001,11/5/1960,2/9/2022,3/18/2027,1,5,PEN,226267.18,7343.71616,734.371616,50,F
A032,producto001,12/11/1983,2/8/2022,2/11/2027,1,5,PEN,27987.51582,772.58412,77.258412,50,F
A033,producto001,3/9/1975,2/11/2022,3/11/2026,1,4,PEN,47348.31794,1116.18232,111.618232,50,F
A034,producto001,7/22/1982,2/25/2022,2/25/2023,1,0,PEN,87374.3442,534.92956,53.492956,50,F
A035,producto001,9/9/1987,2/10/2022,3/11/2025,1,3,PEN,101225.8496,2067.52436,206.752436,50,F
A036,producto001,1/26/1986,2/14/2022,3/18/2025,1,3,PEN,34324.41584,699.92494,69.992494,50,F
A037,producto001,10/3/1987,2/26/2022,4/4/2025,1,3,PEN,91370.42332,1863.8884,186.38884,50,F
A038,producto001,9/23/1967,2/22/2022,3/25/2025,1,3,PEN,37067.23526,756.46406,75.646406,50,F
A039,producto001,12/15/1991,3/18/2022,4/4/2028,1,6,PEN,45486.85944,1470.95806,147.095806,50,F
A040,producto001,8/18/1977,2/25/2022,3/25/2025,1,3,PEN,71740.6778,1469.71726,146.971726,50,F
A041,producto001,1/21/1961,2/9/2022,3/11/2025,1,3,PEN,34826.91916,710.875,71.0875,50,F
A042,producto001,7/31/1985,2/8/2022,3/11/2025,1,3,PEN,47517.27354,969.4267,96.94267,50,F
A043,producto001,11/11/1986,2/2/2022,2/4/2027,1,5,PEN,35469.64322,979.64262,97.964262,50,F
A044,producto001,3/2/1977,2/15/2022,3/18/2025,1,3,PEN,26539.69868,541.72294,54.172294,50,F
A045,producto001,10/4/1970,3/14/2022,5/4/2027,1,5,PEN,42715.58434,1361.97446,136.197446,50,F
A046,producto001,4/10/1976,2/1/2022,2/4/2026,1,4,PEN,60648.68062,1398.59874,139.859874,50,F
A047,producto001,9/7/1985,2/11/2022,3/11/2025,1,3,PEN,43272.8483,886.51024,88.651024,50,F
A048,producto001,12/26/1993,2/8/2022,3/11/2025,1,3,PEN,35476.82952,723.77932,72.377932,50,F
A049,producto001,10/1/1987,2/9/2022,3/11/2025,1,3,PEN,39559.98178,807.48162,80.748162,50,F
A050,producto001,9/29/1984,2/10/2022,3/11/2025,1,3,PEN,57257.30538,1169.28856,116.928856,50,F
A051,producto001,6/12/1984,2/11/2022,3/11/2027,1,5,PEN,51986.71786,1724.98084,172.498084,50,F
A052,producto001,8/15/1994,2/7/2022,3/11/2024,1,2,PEN,32078.17492,427.8175,42.78175,50,F
A053,producto001,10/11/1973,2/16/2022,3/18/2025,1,3,PEN,57590.6463,1175.62698,117.562698,50,F
A054,producto001,9/18/1980,2/21/2022,2/25/2026,1,4,PEN,26209.09786,604.12484,60.412484,50,F
A055,producto001,1/2/1967,2/16/2022,2/19/2024,1,2,PEN,51822.72546,668.6361,66.86361,50,F
A056,producto001,11/1/1994,2/9/2022,2/11/2027,1,5,PEN,41000.75738,1132.51952,113.251952,50,F
A057,producto001,2/15/1971,2/16/2022,2/18/2027,1,5,PEN,40169.51444,1109.70948,110.970948,50,F
A058,producto001,8/29/1994,2/23/2022,2/25/2027,1,5,PEN,42766.74666,1181.17956,118.117956,50,F
A059,producto001,3/23/1994,2/10/2022,3/11/2025,1,3,PEN,53658.9647,1095.81252,109.581252,50,F
A060,producto001,7/13/1989,2/17/2022,3/18/2026,1,4,PEN,58565.84272,1374.01022,137.401022,50,F
A061,producto001,1/2/1995,2/10/2022,3/11/2025,1,3,PEN,45369.2833,926.52604,92.652604,50,F
A062,producto001,10/23/1989,2/16/2022,3/18/2025,1,3,PEN,51641.84784,1054.09062,105.409062,50,F
A063,producto001,12/4/1990,2/22/2022,3/25/2025,1,3,PEN,148107.7301,3023.47804,302.347804,50,F
A064,producto001,4/23/1957,2/18/2022,2/18/2026,1,4,PEN,48677.58698,1124.6301,112.46301,50,F
A065,producto001,12/5/1988,2/28/2022,4/5/2027,1,5,PEN,58789.6727,1947.68376,194.768376,50,F
A066,producto001,3/23/1988,2/24/2022,3/25/2025,1,3,PEN,44087.05092,900.33482,90.033482,50,F
A067,producto001,4/4/1961,2/19/2022,2/25/2027,1,5,PEN,52157.71044,1437.24966,143.724966,50,F
A068,producto001,5/3/1974,2/8/2022,2/11/2027,1,5,PEN,66079.22794,1825.29952,182.529952,50,F
A069,producto001,7/9/1988,2/19/2022,3/25/2025,1,3,PEN,51914.47228,1057.86472,105.786472,50,F
A070,producto001,10/10/1980,2/22/2022,3/25/2026,1,4,PEN,76915.2274,1802.59288,180.259288,50,F
A071,producto001,6/7/1959,2/26/2022,4/4/2026,1,4,PEN,40665.0486,951.5902,95.15902,50,F
A072,producto001,7/15/1991,2/24/2022,3/25/2025,1,3,PEN,45586.96098,930.9619,93.09619,50,F
A073,producto001,2/16/1980,2/17/2022,2/18/2027,1,5,PEN,64955.91102,1795.06536,179.506536,50,F
A074,producto001,7/1/1998,2/23/2022,4/5/2027,1,5,PEN,38497.1125,1235.80578,123.580578,50,F
A075,producto001,7/12/1985,2/10/2022,3/11/2025,1,3,PEN,119623.8322,2443.2386,244.32386,50,F
A076,producto001,1/23/1979,2/26/2022,4/18/2026,1,4,PEN,24161.7882,562.06172,56.206172,50,F
A077,producto001,11/11/1980,2/23/2022,3/25/2025,1,3,PEN,75012.24346,1531.94338,153.194338,50,F
A078,producto001,1/22/1979,2/11/2022,2/11/2027,1,4,PEN,47216.28648,1312.83878,131.283878,50,F
A079,producto001,8/23/1994,2/15/2022,2/18/2026,1,4,PEN,39674.62136,915.04864,91.504864,50,F
A080,producto001,9/29/1960,2/26/2022,4/4/2026,1,4,PEN,54767.60916,1281.5913,128.15913,50,F
A081,producto001,8/29/1992,2/15/2022,2/18/2027,1,5,PEN,34949.3551,964.85642,96.485642,50,F
A082,producto001,2/28/1985,2/16/2022,3/18/2026,1,4,PEN,109378.6914,2565.1989,256.51989,50,F
A083,producto001,11/12/1973,2/17/2022,2/18/2027,1,5,PEN,32685.74298,903.33342,90.333342,50,F
A084,producto001,9/22/1986,2/10/2022,2/11/2027,1,5,PEN,44769.8735,1237.27406,123.727406,50,F
A085,producto001,5/11/1962,3/11/2022,3/11/2024,1,2,PEN,36586.76648,472.73446,47.273446,50,F
A086,producto001,5/18/1978,4/27/2022,6/4/2026,1,4,PEN,114295.8784,2672.15586,267.215586,50,F
A087,producto001,7/2/1988,4/26/2022,6/4/2027,1,5,PEN,54553.80898,1805.2606,180.52606,50,F
A088,producto001,9/23/1989,2/23/2022,3/25/2025,1,3,PEN,34574.20956,705.71534,70.571534,50,F
A089,producto001,6/17/1952,2/14/2022,2/19/2024,1,2,PEN,38996.92742,502.89624,50.289624,50,F
A090,producto001,7/30/1993,2/21/2022,3/25/2025,1,3,PEN,63388.81164,1292.58272,129.258272,50,F
A091,producto001,10/17/1984,2/26/2022,4/4/2025,1,3,PEN,67454.36522,1374.51688,137.451688,50,F
A092,producto001,9/14/1977,2/14/2022,3/18/2025,1,3,PEN,30349.58542,618.86968,61.886968,50,F
A093,producto001,12/9/1986,2/25/2022,3/25/2026,1,4,PEN,94798.29876,2234.76352,223.476352,50,F
A094,producto001,9/23/1976,2/21/2022,3/25/2024,1,2,PEN,37513.38558,500.3009,50.03009,50,F
A095,producto001,1/19/1998,2/16/2022,3/18/2025,1,3,PEN,48660.94992,992.93986,99.293986,50,F
A096,producto001,5/20/1996,2/16/2022,3/18/2025,1,3,PEN,68881.79188,1405.99184,140.599184,50,F
A097,producto001,5/11/1985,3/21/2022,4/25/2025,1,3,PEN,34817.34432,709.9444,70.99444,50,F
A098,producto001,3/26/1986,3/8/2022,4/11/2025,1,3,PEN,69868.16584,1424.73826,142.473826,50,F
A099,producto001,5/19/1982,2/9/2022,2/11/2023,1,1,PEN,21270.35196,129.22932,12.922932,50,F
A100,producto001,11/21/1997,2/15/2022,3/18/2025,1,3,PEN,40197.61856,820.09642,82.009642,50,F
A101,producto001,4/16/1997,2/16/2022,3/18/2025,1,3,PEN,49460.7696,1009.56658,100.956658,50,F
A102,producto001,11/21/1997,2/15/2022,3/18/2025,1,3,PEN,40197.61856,820.09642,82.009642,50,F
A103,producto001,8/17/1986,2/22/2022,5/4/2028,1,6,PEN,45586.80588,1912.18654,191.218654,50,F
A104,producto001,8/19/1975,2/16/2022,3/18/2026,1,4,PEN,125982.3118,2954.02426,295.402426,50,F
A105,producto001,12/14/1979,3/8/2022,5/5/2025,1,3,PEN,69864.21596,1387.76242,138.776242,50,F
A106,producto001,12/14/1995,2/11/2022,3/11/2025,1,3,PEN,39882.65182,817.05646,81.705646,50,F
A107,producto001,4/22/1992,2/18/2022,3/18/2026,1,4,PEN,46561.61972,1097.63236,109.763236,50,F
A108,producto001,11/14/1991,2/23/2022,3/27/2027,1,5,PEN,51248.63832,1699.1722,169.91722,50,F
A109,producto001,10/6/1973,2/18/2022,3/18/2025,1,3,PEN,40197.6289,823.50862,82.350862,50,F
A110,producto001,2/4/1993,2/24/2022,3/25/2026,1,4,PEN,59007.18494,1384.29852,138.429852,50,F
A111,producto001,11/14/1978,2/26/2022,4/4/2025,1,3,PEN,37465.25288,763.21608,76.321608,50,F
A112,producto001,12/10/1992,2/16/2022,2/18/2025,1,3,PEN,19089.9665,380.21214,38.021214,50,F
A113,producto001,8/28/1994,2/24/2022,3/25/2025,1,3,PEN,49941.58994,1019.89624,101.989624,50,F
A114,producto001,10/14/1981,2/18/2022,3/18/2025,1,3,PEN,78891.4082,1616.21438,161.621438,50,F
A115,producto001,7/10/1983,2/11/2022,3/11/2025,1,3,PEN,61563.67756,1261.2215,126.12215,50,F
A116,producto001,5/22/1991,3/14/2022,3/18/2027,1,5,PEN,76677.68658,2116.61868,211.661868,50,F
A117,producto001,11/1/1972,2/22/2022,3/25/2025,1,3,PEN,100186.0385,2042.9772,204.29772,50,F
A118,producto001,5/10/1973,2/22/2022,3/25/2025,1,3,PEN,86369.30654,1763.14578,176.314578,50,F
A119,producto001,5/11/1986,2/21/2022,2/25/2023,1,1,PEN,9316.36068,56.52878,5.652878,50,F
A120,producto001,4/10/1974,2/22/2022,3/25/2025,1,3,PEN,75680.39358,1543.26568,154.326568,50,F
A121,producto001,1/13/1986,3/17/2022,4/19/2025,1,3,PEN,77420.65694,1581.30654,158.130654,50,F
A122,producto001,12/27/1973,2/16/2022,3/18/2027,1,5,PEN,36523.02038,1208.8494,120.88494,50,F
A123,producto001,7/27/1999,2/25/2022,4/5/2027,1,5,PEN,43789.0211,1408.2563,140.82563,50,F
A124,producto001,9/29/1991,2/24/2022,3/25/2025,1,3,PEN,49730.96414,1015.58446,101.558446,50,F
A125,producto001,12/1/1964,2/28/2022,4/5/2027,1,5,PEN,53436.00328,1770.66296,177.066296,50,F
A126,producto001,12/22/1977,2/24/2022,2/25/2023,1,1,PEN,34821.27352,211.61844,21.161844,50,F
A127,producto001,5/21/1984,2/17/2022,3/18/2026,1,4,PEN,118978.6886,2791.52082,279.152082,50,F
A128,producto001,4/26/1992,2/22/2022,3/25/2025,1,3,PEN,49029.14698,999.79528,99.979528,50,F
A129,producto001,10/6/1986,2/21/2022,2/25/2026,1,4,PEN,43378.85398,999.74358,99.974358,50,F
A130,producto001,3/9/1980,2/23/2022,3/25/2025,1,3,PEN,30043.31462,613.23438,61.323438,50,F
A131,producto001,8/7/1974,2/24/2022,3/25/2026,1,4,PEN,71997.68884,1689.23546,168.923546,50,F
A132,producto001,5/31/1986,2/24/2022,3/25/2026,1,4,PEN,56110.03068,1316.3337,131.63337,50,F
A133,producto001,5/8/1995,3/17/2022,4/18/2026,1,4,PEN,124356.1814,2917.86528,291.786528,50,F
A134,producto001,10/31/1978,2/25/2022,4/4/2025,1,3,PEN,99931.0334,2035.3773,203.53773,50,F
A135,producto001,5/3/1971,2/23/2022,2/25/2025,1,3,PEN,13894.18888,276.77078,27.677078,50,F
A136,producto001,12/19/1994,2/25/2022,2/25/2027,1,4,PEN,20601.416,572.81532,57.281532,50,F
A137,producto001,10/10/1991,4/19/2022,5/26/2025,1,3,PEN,81910.0161,1670.1685,167.01685,50,F
A138,producto001,3/7/1975,2/23/2022,3/25/2025,1,3,PEN,37764.28568,770.82632,77.082632,50,F
A139,producto001,3/26/1979,2/22/2022,2/25/2025,1,3,PEN,14721.15106,293.0873,29.30873,50,F
A140,producto001,10/4/1993,2/28/2022,4/4/2025,1,3,PEN,34711.5351,707.81436,70.781436,50,F
A141,producto001,5/19/1991,2/23/2022,3/27/2027,1,5,PEN,45558.93958,1510.674,151.0674,50,F
A142,producto001,5/31/1989,2/23/2022,2/25/2023,1,1,PEN,44645.80384,271.46636,27.146636,50,F
A143,producto001,3/25/1980,3/14/2022,4/19/2025,1,3,PEN,90544.55718,1848.02684,184.802684,50,F
A144,producto001,6/13/1971,2/24/2022,3/25/2024,1,2,PEN,11080.38536,148.00676,14.800676,50,F
A145,producto001,3/26/1996,2/28/2022,3/4/2028,1,6,PEN,60142.27912,1967.76404,196.776404,50,F
A146,producto001,2/19/1995,2/23/2022,3/25/2025,1,3,PEN,60312.71334,1231.0804,123.10804,50,F
A147,producto001,2/25/1981,2/26/2022,3/4/2027,1,5,PEN,60662.01922,1672.74316,167.274316,50,F
A148,producto001,3/29/1985,2/18/2022,2/18/2027,1,4,PEN,49521.22758,1376.9261,137.69261,50,F
A149,producto001,1/30/1986,2/23/2022,2/25/2027,1,5,PEN,58697.89486,1620.90874,162.090874,50,F
A150,producto001,6/9/1983,2/25/2022,3/25/2025,1,3,PEN,56195.30466,1151.24526,115.124526,50,F
A151,producto001,12/8/1992,3/15/2022,4/19/2027,1,5,PEN,42307.10264,1402.37284,140.237284,50,F
A152,producto001,2/5/1988,2/26/2022,4/4/2025,1,3,PEN,45182.41882,919.55688,91.955688,50,F
A153,producto001,11/5/1985,3/21/2022,6/4/2026,1,4,PEN,140682.7312,3721.70722,372.170722,50,F
A154,producto001,9/27/1958,3/17/2022,3/18/2025,1,3,PEN,56608.47038,1127.98026,112.798026,50,F
A155,producto001,11/24/1984,4/29/2022,5/4/2027,1,5,PEN,59980.4271,1655.71318,165.571318,50,F
A156,producto001,7/31/1984,4/20/2022,5/26/2025,1,3,PEN,60595.67778,1235.6817,123.56817,50,F
A157,producto001,5/7/1997,4/27/2022,6/4/2025,1,3,PEN,46309.3444,942.83222,94.283222,50,F
A158,producto001,3/27/1990,2/28/2022,3/4/2023,1,1,PEN,21159.92076,128.60892,12.860892,50,F
A159,producto001,6/1/1988,2/28/2022,4/4/2025,1,3,PEN,72854.52328,1484.6689,148.46689,50,F
A160,producto001,11/14/1971,2/26/2022,6/4/2025,1,3,PEN,36515.53422,807.54366,80.754366,50,F
A161,producto001,3/13/1990,3/10/2022,3/11/2027,1,5,PEN,81138.30054,2242.61158,224.261158,50,F
A162,producto001,10/12/1997,3/16/2022,4/19/2025,1,3,PEN,81412.9723,1661.77242,166.177242,50,F
A163,producto001,7/3/1974,2/26/2022,4/4/2025,1,3,PEN,37202.73062,757.85996,75.785996,50,F
A164,producto001,2/5/1989,3/8/2022,4/11/2025,1,3,PEN,83142.1305,1697.26964,169.726964,50,F
A165,producto001,6/30/1962,2/24/2022,3/25/2026,1,4,PEN,40243.01116,944.1454,94.41454,50,F
A166,producto001,7/23/1992,3/14/2022,4/19/2027,1,5,PEN,48788.89708,1616.36948,161.636948,50,F
A167,producto001,3/8/1983,2/26/2022,4/4/2025,1,3,PEN,27699.19526,564.62604,56.462604,50,F
A168,producto001,7/12/1959,3/15/2022,4/19/2025,1,3,PEN,75855.55318,1548.81826,154.881826,50,F
A169,producto001,8/18/1963,2/23/2022,2/26/2024,1,2,PEN,13293.96222,171.5406,17.15406,50,F
A170,producto001,4/23/1990,2/28/2022,4/4/2025,1,3,PEN,27260.8413,555.88874,55.588874,50,F
A171,producto001,8/6/1986,2/28/2022,4/4/2025,1,3,PEN,62785.33822,1280.28846,128.028846,50,F
A172,producto001,12/20/1971,3/2/2022,3/4/2024,1,2,PEN,55009.79264,709.8927,70.98927,50,F
A173,producto001,2/7/1987,2/25/2022,2/25/2027,1,4,PEN,76457.29982,2125.88332,212.588332,50,F
A174,producto001,4/2/1986,2/28/2022,4/4/2025,1,3,PEN,58034.30468,1183.40266,118.340266,50,F
A175,producto001,7/21/1995,3/15/2022,4/19/2025,1,3,PEN,46125.41648,940.9917,94.09917,50,F
A176,producto001,9/10/1995,2/24/2022,3/25/2025,1,3,PEN,45833.30114,936.14224,93.614224,50,F
A177,producto001,3/12/1989,3/16/2022,4/19/2025,1,3,PEN,47218.65434,963.81208,96.381208,50,F
A178,producto001,11/1/1971,3/15/2022,4/4/2025,1,3,PEN,91535.51176,1808.32124,180.832124,50,F
A179,producto001,1/1/1990,3/21/2022,4/25/2025,1,3,PEN,49898.34806,1017.456,101.7456,50,F
A180,producto001,4/14/1964,3/17/2022,4/19/2025,1,3,PEN,45410.3331,927.498,92.7498,50,F
A181,producto001,9/10/1990,3/2/2022,3/4/2027,1,5,PEN,30266.95848,835.95798,83.595798,50,F
A182,producto001,6/9/1971,2/28/2022,3/4/2024,1,2,PEN,70430.21722,908.25526,90.825526,50,F
A183,producto001,5/1/1979,2/28/2022,4/4/2025,1,3,PEN,45673.4861,931.34448,93.134448,50,F
A184,producto001,11/9/1980,3/3/2022,3/4/2027,1,5,PEN,63836.6784,1764.33488,176.433488,50,F
A185,producto001,4/13/1969,2/26/2022,3/4/2024,1,2,PEN,48540.08566,625.5183,62.55183,50,F
A186,producto001,7/11/1991,3/15/2022,4/19/2025,1,3,PEN,57088.46352,1164.6459,116.46459,50,F
A187,producto001,11/18/1981,2/28/2022,4/4/2025,1,3,PEN,68392.61682,1395.49674,139.549674,50,F
A188,producto001,10/14/1993,3/11/2022,4/5/2027,1,5,PEN,42306.87516,1147.51252,114.751252,50,F
A189,producto001,8/12/1964,2/28/2022,4/5/2027,1,5,PEN,45637.4512,1472.37464,147.237464,50,F
A190,producto001,12/19/1989,2/28/2022,4/4/2025,1,3,PEN,48532.66154,989.65174,98.965174,50,F
A191,producto001,7/12/1974,3/15/2022,4/19/2025,1,3,PEN,57225.65464,1167.4894,116.74894,50,F
A192,producto001,12/15/1975,3/18/2022,4/19/2025,1,3,PEN,82992.67614,1695.68762,169.568762,50,F
A193,producto001,3/23/1995,3/2/2022,3/4/2027,1,5,PEN,52529.1646,1451.14662,145.114662,50,F
A194,producto001,2/23/1966,2/28/2022,4/4/2025,1,3,PEN,31081.68844,633.91438,63.391438,50,F
A195,producto001,10/12/1979,3/18/2022,4/19/2025,1,3,PEN,99153.19656,2025.87484,202.587484,50,F
A196,producto001,1/2/1990,3/21/2022,3/25/2023,1,1,PEN,89340.48486,543.22224,54.322224,50,F
A197,producto001,3/13/1958,3/14/2022,4/19/2025,1,3,PEN,31746.58146,647.32536,64.732536,50,F
A198,producto001,8/1/1977,4/18/2022,7/18/2025,1,3,PEN,46207.29894,1035.83018,103.583018,50,F
A199,producto001,4/2/1988,3/21/2022,3/27/2027,1,5,PEN,48371.30584,1334.35632,133.435632,50,F
A200,producto001,12/25/1949,4/25/2022,5/26/2025,1,3,PEN,37268.45166,761.45828,76.145828,50,F
A201,producto001,7/24/1962,3/21/2022,4/25/2025,1,3,PEN,53927.48416,1100.0726,110.00726,50,F
A202,producto001,7/11/1976,4/27/2022,6/4/2025,1,3,PEN,109925.0053,2238.75476,223.875476,50,F
A203,producto001,12/2/1970,3/10/2022,3/11/2027,1,5,PEN,51482.89102,1422.87706,142.287706,50,F
A204,producto001,5/18/1987,3/8/2022,3/11/2027,1,5,PEN,49291.297,1360.60958,136.060958,50,F
A205,producto001,6/12/1968,3/21/2022,4/25/2025,1,3,PEN,59538.0819,1214.52606,121.452606,50,F
A206,producto001,4/26/1993,3/21/2022,4/25/2025,1,3,PEN,45620.19374,929.62804,92.962804,50,F
A207,producto001,3/28/1992,3/21/2022,4/25/2025,1,3,PEN,47426.59174,967.0485,96.70485,50,F
A208,producto001,7/27/1987,3/21/2022,4/4/2023,1,1,PEN,86508.70008,525.0135,52.50135,50,F
A209,producto001,8/2/1974,4/29/2022,6/4/2027,1,5,PEN,39657.80852,1279.38888,127.938888,50,F
A210,producto001,9/16/1996,3/11/2022,5/12/2025,1,3,PEN,68881.49202,1540.85646,154.085646,50,F
A211,producto001,7/20/1976,3/17/2022,4/18/2026,1,4,PEN,40692.25314,954.61982,95.461982,50,F
A212,producto001,2/5/1982,3/21/2022,5/4/2026,1,4,PEN,101281.7683,2358.57468,235.857468,50,F
A213,producto001,2/20/1991,3/16/2022,3/18/2027,1,5,PEN,41689.3807,1151.39002,115.139002,50,F
A214,producto001,9/14/1994,3/18/2022,4/19/2025,1,3,PEN,101188.9461,2067.47266,206.747266,50,F
A215,producto001,6/17/1977,3/14/2022,5/4/2026,1,4,PEN,111674.7504,2582.55976,258.255976,50,F
A216,producto001,1/2/1989,3/21/2022,4/25/2025,1,3,PEN,48496.55426,988.8659,98.88659,50,F
A217,producto001,6/27/1989,3/18/2022,5/4/2027,1,5,PEN,43529.82832,1392.281,139.2281,50,F
A218,producto001,12/25/1991,4/29/2022,6/4/2025,1,3,PEN,40251.93458,820.33424,82.033424,50,F
A219,producto001,7/27/1991,3/21/2022,4/25/2025,1,3,PEN,82877.41616,1688.85288,168.885288,50,F
A220,producto001,3/14/1980,3/18/2022,4/19/2025,1,3,PEN,71464.73422,1460.15276,146.015276,50,F
A221,producto001,7/2/1994,3/17/2022,4/19/2025,1,3,PEN,37104.74878,757.73588,75.773588,50,F
A222,producto001,3/13/1968,3/18/2022,4/18/2026,1,4,PEN,39158.0453,923.1035,92.31035,50,F
A223,producto001,8/16/1991,4/28/2022,6/4/2027,1,5,PEN,37398.16696,1238.33908,123.833908,50,F
A224,producto001,4/23/1981,3/18/2022,3/18/2028,1,6,PEN,77408.84866,2568.51804,256.851804,50,F
A225,producto001,4/20/1963,3/14/2022,3/18/2025,1,3,PEN,28458.71996,566.4769,56.64769,50,F
A226,producto001,3/17/1975,3/21/2022,4/25/2025,1,3,PEN,41478.0311,845.7603,84.57603,50,F
A227,producto001,6/10/1981,4/25/2022,5/26/2025,1,3,PEN,78602.07432,1605.98812,160.598812,50,F
A228,producto001,1/12/1958,4/26/2022,5/4/2023,1,1,PEN,30240.07448,183.35922,18.335922,50,F
A229,producto001,8/3/1958,3/18/2022,3/18/2023,1,0,PEN,25520.78474,156.24774,15.624774,50,F
A230,producto001,8/8/1978,3/18/2022,3/18/2023,1,0,PEN,24813.97336,151.91528,15.191528,50,F
A231,producto001,7/29/1980,3/21/2022,3/27/2027,1,5,PEN,59621.0604,1646.0246,164.60246,50,F
A232,producto001,1/14/1985,4/6/2022,6/4/2026,1,4,PEN,103713.1883,2389.50162,238.950162,50,F
A233,producto001,9/21/1965,4/16/2022,5/19/2025,1,3,PEN,44378.25634,906.00114,90.600114,50,F
A234,producto001,8/21/1958,3/21/2022,4/25/2025,1,3,PEN,71398.51686,1456.82328,145.682328,50,F
A235,producto001,2/18/1987,4/7/2022,5/12/2025,1,3,PEN,37272.29814,760.1451,76.01451,50,F
A236,producto001,11/8/1951,4/18/2022,5/19/2025,1,3,PEN,92509.25024,1890.13132,189.013132,50,F
A237,producto001,6/5/1993,4/26/2022,6/4/2025,1,3,PEN,56587.94548,1151.52444,115.152444,50,F
A238,producto001,5/19/1989,4/8/2022,4/11/2028,1,6,PEN,70465.90056,2307.5778,230.75778,50,F
A239,producto001,12/26/1990,4/18/2022,5/19/2025,1,3,PEN,67954.0664,1388.42418,138.842418,50,F
A240,producto001,11/24/1983,4/13/2022,4/18/2028,1,6,PEN,54301.56468,1775.6365,177.56365,50,F
A241,producto001,11/29/1978,4/20/2022,4/25/2023,1,1,PEN,90260.58976,548.82652,54.882652,50,F
A242,producto001,2/23/1993,4/25/2022,5/26/2025,1,3,PEN,54552.12356,1114.6003,111.46003,50,F
A243,producto001,11/5/1994,4/28/2022,6/4/2025,1,3,PEN,47784.84172,973.36624,97.336624,50,F
A244,producto001,10/24/1984,4/25/2022,5/26/2025,1,3,PEN,111238.5265,2272.79404,227.279404,50,F
A245,producto001,3/17/1970,4/26/2022,6/4/2025,1,3,PEN,53635.71004,1092.3693,109.23693,50,F
A246,producto001,4/24/1995,4/18/2022,5/18/2026,1,4,PEN,49677.89926,1171.09806,117.109806,50,F
