certificado,producto,fec_nac,fec_ini,fec_fin,t_poliza,vigencia,moneda,beneficio,monto_prima,monto_gasto,dotal,sexo
A4048,producto001,9/20/1989,2/19/2020,3/25/2023,3,3,PEN,9748.6554,128.07124,12.807124,50,F
A4049,producto001,2/11/1972,2/24/2020,3/25/2023,3,3,PEN,38138.69708,502.30686,50.230686,50,F
A4050,producto001,7/24/1961,2/25/2020,2/25/2025,3,5,PEN,39033.15878,620.21388,62.021388,50,F
A4051,producto001,7/30/1993,2/21/2020,2/25/2025,3,5,PEN,30332.46238,575.19352,57.519352,50,F
A4052,producto001,2/19/1967,2/27/2020,4/4/2023,3,3,PEN,31108.37598,408.66782,40.866782,50,F
A4053,producto001,9/25/1993,2/28/2020,4/4/2023,3,3,PEN,34625.72344,455.10476,45.510476,50,F
A4054,producto001,4/6/1983,2/19/2020,3/25/2023,3,3,PEN,49358.18646,647.55284,64.755284,50,F
A4055,producto001,6/9/1991,2/17/2020,2/18/2025,3,5,PEN,32488.60054,617.23596,61.723596,50,F
A4056,producto001,2/8/1979,2/19/2020,3/4/2025,3,5,PEN,44011.08294,827.64462,82.764462,50,F
A4057,producto001,1/11/1971,2/26/2020,4/4/2023,3,3,PEN,50669.00894,665.6375,66.56375,50,F
A4058,producto001,8/2/1985,2/11/2020,3/11/2023,3,3,PEN,9779.69608,128.85708,12.885708,50,F
A4059,producto001,6/3/1988,2/28/2020,4/4/2023,3,3,PEN,59292.145,778.43656,77.843656,50,F
A4060,producto001,11/24/1981,2/27/2020,4/4/2023,3,3,PEN,55587.43674,730.25216,73.025216,50,F
A4061,producto001,11/30/1969,2/26/2020,3/4/2025,3,5,PEN,53165.58126,1006.4439,100.64439,50,F
A4062,producto001,1/1/1990,2/22/2020,2/25/2025,3,5,PEN,15164.8508,287.9173,28.79173,50,F
A4063,producto001,4/13/1966,2/27/2020,4/4/2023,3,3,PEN,7678.62876,100.87704,10.087704,50,F
A4064,producto001,3/17/1989,6/8/2020,7/11/2023,3,3,PEN,9411.54038,123.8215,12.38215,50,F
A4065,producto001,8/9/1979,2/13/2020,3/18/2023,3,3,PEN,48853.59446,641.3902,64.13902,50,F
A4066,producto001,4/24/1977,3/11/2020,4/11/2023,3,3,PEN,11646.33492,153.45594,15.345594,50,F
A4067,producto001,12/16/1987,2/24/2020,2/25/2025,3,5,PEN,8691.56618,138.0907,13.80907,50,F
A4068,producto001,10/7/1967,2/12/2020,3/18/2025,3,5,PEN,31903.30484,597.32112,59.732112,50,F
A4069,producto001,10/31/1960,2/27/2020,4/4/2023,3,3,PEN,47267.82104,1105.90436,110.590436,50,F
A4070,producto001,8/20/1958,2/17/2020,3/18/2023,3,3,PEN,14546.17758,191.58986,19.158986,50,F
A4071,producto001,9/11/1961,2/28/2020,4/4/2023,3,3,PEN,9541.4935,125.45522,12.545522,50,F
A4072,producto001,4/22/1967,2/28/2020,4/4/2023,3,3,PEN,9617.46148,126.4065,12.64065,50,F
A4073,producto001,1/31/1985,2/21/2020,2/25/2025,3,5,PEN,48396.19422,918.05758,91.805758,50,F
A4074,producto001,2/20/1969,3/6/2020,4/11/2023,3,3,PEN,17002.46526,398.23476,39.823476,50,F
A4075,producto001,1/23/1983,3/6/2020,4/11/2023,3,3,PEN,46180.3012,606.96834,60.696834,50,F
A4076,producto001,9/28/1984,2/25/2020,4/4/2025,3,5,PEN,47486.11912,878.01076,87.801076,50,F
A4077,producto001,3/12/1982,2/17/2020,2/18/2025,3,5,PEN,8879.36126,168.73846,16.873846,50,F
A4078,producto001,7/12/1980,2/27/2020,4/4/2023,3,3,PEN,10881.49546,142.9505,14.29505,50,F
A4079,producto001,1/30/1982,2/26/2020,3/4/2025,3,5,PEN,8697.7495,138.0907,13.80907,50,F
A4080,producto001,10/26/1988,2/25/2020,4/4/2025,3,5,PEN,43654.31158,805.47566,80.547566,50,F
A4081,producto001,11/7/1972,2/29/2020,4/4/2023,3,3,PEN,41787.67274,549.66406,54.966406,50,F
A4082,producto001,10/2/1970,2/19/2020,2/25/2025,3,5,PEN,8696.7155,138.0907,13.80907,50,F
A4083,producto001,11/1/1981,2/25/2020,2/25/2025,3,5,PEN,8690.53218,138.0907,13.80907,50,F
A4084,producto001,7/14/1991,2/28/2020,4/4/2023,3,3,PEN,53345.41454,700.36956,70.036956,50,F
A4085,producto001,1/23/1981,3/9/2020,4/11/2023,3,3,PEN,43496.49216,572.90838,57.290838,50,F
A4086,producto001,11/30/1991,2/20/2020,3/25/2023,3,3,PEN,25284.2469,332.3276,33.23276,50,F
A4087,producto001,7/15/1989,2/14/2020,2/18/2025,3,5,PEN,34890.04486,661.27402,66.127402,50,F
A4088,producto001,4/6/1987,2/17/2020,3/18/2023,3,3,PEN,8614.12992,113.45048,11.345048,50,F
A4089,producto001,6/24/1993,2/27/2020,4/4/2024,3,4,PEN,108255.0022,1674.36654,167.436654,50,F
A4090,producto001,12/15/1969,2/29/2020,3/4/2025,3,5,PEN,118785.0928,2253.78912,225.378912,50,F
A4091,producto001,5/13/1988,2/25/2020,3/25/2023,3,3,PEN,16289.8945,214.63772,21.463772,50,F
A4092,producto001,12/29/1984,2/19/2020,3/25/2023,3,3,PEN,46937.63382,615.7987,61.57987,50,F
A4093,producto001,8/20/1958,2/24/2020,3/25/2023,3,3,PEN,14546.18792,191.58986,19.158986,50,F
A4094,producto001,6/1/1994,2/21/2020,4/4/2025,3,5,PEN,42810.06092,787.50474,78.750474,50,F
A4095,producto001,3/11/1986,2/17/2020,3/4/2025,3,5,PEN,44765.83056,840.55928,84.055928,50,F
A4096,producto001,1/12/1997,2/19/2020,4/4/2025,3,5,PEN,41158.28728,755.96774,75.596774,50,F
A4097,producto001,2/21/1992,2/24/2020,3/25/2023,3,3,PEN,12499.07472,164.62314,16.462314,50,F
A4098,producto001,3/1/1981,2/19/2020,2/25/2025,3,5,PEN,8696.7155,138.0907,13.80907,50,F
A4099,producto001,2/4/1965,2/28/2020,4/4/2023,3,3,PEN,15114.55704,198.8899,19.88899,50,F
A4100,producto001,8/28/1978,2/24/2020,3/25/2023,3,3,PEN,9809.041,129.18796,12.918796,50,F
A4101,producto001,10/24/1987,2/28/2020,3/4/2024,3,4,PEN,108729.1946,1722.98522,172.298522,50,F
A4102,producto001,10/26/1964,2/29/2020,4/4/2023,3,3,PEN,51756.43572,680.59948,68.059948,50,F
A4103,producto001,9/2/1975,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4104,producto001,3/12/1988,2/19/2020,2/25/2025,3,5,PEN,7887.1452,149.54742,14.954742,50,F
A4105,producto001,12/11/1978,2/17/2020,2/18/2025,3,5,PEN,27218.04404,516.98966,51.698966,50,F
A4106,producto001,10/24/1973,2/27/2020,4/4/2023,3,3,PEN,18585.08498,244.25148,24.425148,50,F
A4107,producto001,6/12/1981,2/28/2020,4/4/2023,3,3,PEN,36783.23682,483.45704,48.345704,50,F
A4108,producto001,9/13/1992,2/20/2020,2/26/2024,3,4,PEN,46146.11716,731.51364,73.151364,50,F
A4109,producto001,12/21/1996,2/26/2020,4/4/2023,3,3,PEN,41197.70336,540.34772,54.034772,50,F
A4110,producto001,4/13/1963,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4111,producto001,12/26/1979,2/29/2020,3/4/2024,3,4,PEN,15835.67898,251.25166,25.125166,50,F
A4112,producto001,7/1/1956,2/28/2020,4/4/2023,3,3,PEN,27402.46828,360.4524,36.04524,50,F
A4113,producto001,1/15/1983,2/26/2020,3/4/2025,3,5,PEN,56915.9613,1078.58608,107.858608,50,F
A4114,producto001,1/6/1977,2/26/2020,4/4/2023,3,3,PEN,48792.41268,640.6664,64.06664,50,F
A4115,producto001,5/26/1978,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4116,producto001,8/20/1980,2/25/2020,3/25/2023,3,3,PEN,51006.10328,672.05864,67.205864,50,F
A4117,producto001,12/11/1978,2/17/2020,2/18/2025,3,5,PEN,27218.04404,516.98966,51.698966,50,F
A4118,producto001,1/24/1983,2/27/2020,4/4/2023,3,3,PEN,11047.54552,145.13224,14.513224,50,F
A4119,producto001,1/7/1992,2/22/2020,3/25/2023,3,3,PEN,20391.75182,268.34368,26.834368,50,F
A4120,producto001,5/29/1988,3/18/2020,3/18/2025,3,4,PEN,8806.66072,248.53224,24.853224,50,F
A4121,producto001,7/1/1976,2/19/2020,3/25/2023,3,3,PEN,49686.53316,652.73318,65.273318,50,F
A4122,producto001,5/22/1974,2/28/2020,4/4/2023,3,3,PEN,16109.2547,211.73218,21.173218,50,F
A4123,producto001,1/24/1998,2/28/2020,4/4/2023,3,3,PEN,54998.81156,722.87974,72.287974,50,F
